"","P.A.","P..A.","P.B.","P..B.","P.A.B.","P.A..B.","P..A.B.","P..B..A.","P.A.B..1","P.A..B..1","P..A.B..1","P..B..A..1"
"797",0.52,0.48,0.6,0.4,0.36,0.16,0.24,0.24,0.76,0.76,0.84,0.64
"798",0.56,0.44,0.6,0.4,0.36,0.2,0.24,0.2,0.8,0.76,0.8,0.64
"799",0.6,0.4,0.6,0.4,0.36,0.24,0.24,0.16,0.84,0.76,0.76,0.64
"800",0.64,0.36,0.6,0.4,0.36,0.28,0.24,0.12,0.88,0.76,0.72,0.64
"801",0.68,0.32,0.6,0.4,0.36,0.32,0.24,0.08,0.92,0.76,0.68,0.64
"802",0.72,0.28,0.6,0.4,0.36,0.36,0.24,0.04,0.96,0.76,0.64,0.64
"803",0.76,0.24,0.6,0.4,0.36,0.4,0.24,0,1,0.76,0.6,0.64
"804",0.42,0.58,0.6,0.4,0.42,0,0.18,0.4,0.6,0.82,1,0.58
"805",0.46,0.54,0.6,0.4,0.42,0.04,0.18,0.36,0.64,0.82,0.96,0.58
"806",0.5,0.5,0.6,0.4,0.42,0.08,0.18,0.32,0.68,0.82,0.92,0.58
"807",0.54,0.46,0.6,0.4,0.42,0.12,0.18,0.28,0.72,0.82,0.88,0.58
"808",0.58,0.42,0.6,0.4,0.42,0.16,0.18,0.24,0.76,0.82,0.84,0.58
"809",0.62,0.38,0.6,0.4,0.42,0.2,0.18,0.2,0.8,0.82,0.8,0.58
"810",0.66,0.34,0.6,0.4,0.42,0.24,0.18,0.16,0.84,0.82,0.76,0.58
"811",0.7,0.3,0.6,0.4,0.42,0.28,0.18,0.12,0.88,0.82,0.72,0.58
"812",0.74,0.26,0.6,0.4,0.42,0.32,0.18,0.08,0.92,0.82,0.68,0.58
"813",0.78,0.22,0.6,0.4,0.42,0.36,0.18,0.04,0.96,0.82,0.64,0.58
"814",0.82,0.18,0.6,0.4,0.42,0.4,0.18,0,1,0.82,0.6,0.58
"815",0.48,0.52,0.6,0.4,0.48,0,0.12,0.4,0.6,0.88,1,0.52
"816",0.52,0.48,0.6,0.4,0.48,0.04,0.12,0.36,0.64,0.88,0.96,0.52
"817",0.56,0.44,0.6,0.4,0.48,0.08,0.12,0.32,0.68,0.88,0.92,0.52
"818",0.6,0.4,0.6,0.4,0.48,0.12,0.12,0.28,0.72,0.88,0.88,0.52
"819",0.64,0.36,0.6,0.4,0.48,0.16,0.12,0.24,0.76,0.88,0.84,0.52
"820",0.68,0.32,0.6,0.4,0.48,0.2,0.12,0.2,0.8,0.88,0.8,0.52
"821",0.72,0.28,0.6,0.4,0.48,0.24,0.12,0.16,0.84,0.88,0.76,0.52
"822",0.76,0.24,0.6,0.4,0.48,0.28,0.12,0.12,0.88,0.88,0.72,0.52
"823",0.8,0.2,0.6,0.4,0.48,0.32,0.12,0.08,0.92,0.88,0.68,0.52
"824",0.84,0.16,0.6,0.4,0.48,0.36,0.12,0.04,0.96,0.88,0.64,0.52
"825",0.88,0.12,0.6,0.4,0.48,0.4,0.12,0,1,0.88,0.6,0.52
"826",0.54,0.46,0.6,0.4,0.54,0,0.0599999999999999,0.4,0.6,0.94,1,0.46
"827",0.58,0.42,0.6,0.4,0.54,0.04,0.0599999999999999,0.36,0.64,0.94,0.96,0.46
"828",0.62,0.38,0.6,0.4,0.54,0.08,0.0599999999999999,0.32,0.68,0.94,0.92,0.46
"829",0.66,0.34,0.6,0.4,0.54,0.12,0.0599999999999999,0.28,0.72,0.94,0.88,0.46
"830",0.7,0.3,0.6,0.4,0.54,0.16,0.0599999999999999,0.24,0.76,0.94,0.84,0.46
"831",0.74,0.26,0.6,0.4,0.54,0.2,0.0599999999999999,0.2,0.8,0.94,0.8,0.46
"832",0.78,0.22,0.6,0.4,0.54,0.24,0.0599999999999999,0.16,0.84,0.94,0.76,0.46
"833",0.82,0.18,0.6,0.4,0.54,0.28,0.0599999999999999,0.12,0.88,0.94,0.72,0.46
"834",0.86,0.14,0.6,0.4,0.54,0.32,0.0599999999999999,0.08,0.92,0.94,0.68,0.46
"835",0.9,0.0999999999999999,0.6,0.4,0.54,0.36,0.0599999999999999,0.04,0.96,0.94,0.64,0.46
"836",0.94,0.0599999999999999,0.6,0.4,0.54,0.4,0.0599999999999999,0,1,0.94,0.6,0.46
"837",0.6,0.4,0.6,0.4,0.6,0,0,0.4,0.6,1,1,0.4
"838",0.64,0.36,0.6,0.4,0.6,0.04,0,0.36,0.64,1,0.96,0.4
"839",0.68,0.32,0.6,0.4,0.6,0.08,0,0.32,0.68,1,0.92,0.4
"840",0.72,0.28,0.6,0.4,0.6,0.12,0,0.28,0.72,1,0.88,0.4
"841",0.76,0.24,0.6,0.4,0.6,0.16,0,0.24,0.76,1,0.84,0.4
"842",0.8,0.2,0.6,0.4,0.6,0.2,0,0.2,0.8,1,0.8,0.4
"843",0.84,0.16,0.6,0.4,0.6,0.24,0,0.16,0.84,1,0.76,0.4
"844",0.88,0.12,0.6,0.4,0.6,0.28,0,0.12,0.88,1,0.72,0.4
"845",0.92,0.08,0.6,0.4,0.6,0.32,0,0.08,0.92,1,0.68,0.4
"846",0.96,0.04,0.6,0.4,0.6,0.36,0,0.04,0.96,1,0.64,0.4
"847",1,0,0.6,0.4,0.6,0.4,0,0,1,1,0.6,0.4
"848",0,1,0.7,0.3,0,0,0.7,0.3,0.7,0.3,1,1
"849",0.03,0.97,0.7,0.3,0,0.03,0.7,0.27,0.73,0.3,0.97,1
"850",0.06,0.94,0.7,0.3,0,0.06,0.7,0.24,0.76,0.3,0.94,1
"851",0.09,0.91,0.7,0.3,0,0.09,0.7,0.21,0.79,0.3,0.91,1
"852",0.12,0.88,0.7,0.3,0,0.12,0.7,0.18,0.82,0.3,0.88,1
"853",0.15,0.85,0.7,0.3,0,0.15,0.7,0.15,0.85,0.3,0.85,1
"854",0.18,0.82,0.7,0.3,0,0.18,0.7,0.12,0.88,0.3,0.82,1
"855",0.21,0.79,0.7,0.3,0,0.21,0.7,0.09,0.91,0.3,0.79,1
"856",0.24,0.76,0.7,0.3,0,0.24,0.7,0.06,0.94,0.3,0.76,1
"857",0.27,0.73,0.7,0.3,0,0.27,0.7,0.03,0.97,0.3,0.73,1
"858",0.3,0.7,0.7,0.3,0,0.3,0.7,0,1,0.3,0.7,1
"859",0.07,0.93,0.7,0.3,0.07,0,0.63,0.3,0.7,0.37,1,0.93
"860",0.1,0.9,0.7,0.3,0.07,0.03,0.63,0.27,0.73,0.37,0.97,0.93
"861",0.13,0.87,0.7,0.3,0.07,0.06,0.63,0.24,0.76,0.37,0.94,0.93
"862",0.16,0.84,0.7,0.3,0.07,0.09,0.63,0.21,0.79,0.37,0.91,0.93
"863",0.19,0.81,0.7,0.3,0.07,0.12,0.63,0.18,0.82,0.37,0.88,0.93
"864",0.22,0.78,0.7,0.3,0.07,0.15,0.63,0.15,0.85,0.37,0.85,0.93
"865",0.25,0.75,0.7,0.3,0.07,0.18,0.63,0.12,0.88,0.37,0.82,0.93
"866",0.28,0.72,0.7,0.3,0.07,0.21,0.63,0.09,0.91,0.37,0.79,0.93
"867",0.31,0.69,0.7,0.3,0.07,0.24,0.63,0.06,0.94,0.37,0.76,0.93
"868",0.34,0.66,0.7,0.3,0.07,0.27,0.63,0.03,0.97,0.37,0.73,0.93
"869",0.37,0.63,0.7,0.3,0.07,0.3,0.63,0,1,0.37,0.7,0.93
"870",0.14,0.86,0.7,0.3,0.14,0,0.56,0.3,0.7,0.44,1,0.86
"871",0.17,0.83,0.7,0.3,0.14,0.03,0.56,0.27,0.73,0.44,0.97,0.86
"872",0.2,0.8,0.7,0.3,0.14,0.06,0.56,0.24,0.76,0.44,0.94,0.86
"873",0.23,0.77,0.7,0.3,0.14,0.09,0.56,0.21,0.79,0.44,0.91,0.86
"874",0.26,0.74,0.7,0.3,0.14,0.12,0.56,0.18,0.82,0.44,0.88,0.86
"875",0.29,0.71,0.7,0.3,0.14,0.15,0.56,0.15,0.85,0.44,0.85,0.86
"876",0.32,0.68,0.7,0.3,0.14,0.18,0.56,0.12,0.88,0.44,0.82,0.86
"877",0.35,0.65,0.7,0.3,0.14,0.21,0.56,0.0899999999999999,0.91,0.44,0.79,0.86
"878",0.38,0.62,0.7,0.3,0.14,0.24,0.56,0.06,0.94,0.44,0.76,0.86
"879",0.41,0.59,0.7,0.3,0.14,0.27,0.56,0.03,0.97,0.44,0.73,0.86
"880",0.44,0.56,0.7,0.3,0.14,0.3,0.56,0,1,0.44,0.7,0.86
"881",0.21,0.79,0.7,0.3,0.21,0,0.49,0.3,0.7,0.51,1,0.79
"882",0.24,0.76,0.7,0.3,0.21,0.03,0.49,0.27,0.73,0.51,0.97,0.79
"883",0.27,0.73,0.7,0.3,0.21,0.06,0.49,0.24,0.76,0.51,0.94,0.79
"884",0.3,0.7,0.7,0.3,0.21,0.09,0.49,0.21,0.79,0.51,0.91,0.79
"885",0.33,0.67,0.7,0.3,0.21,0.12,0.49,0.18,0.82,0.51,0.88,0.79
"886",0.36,0.64,0.7,0.3,0.21,0.15,0.49,0.15,0.85,0.51,0.85,0.79
"887",0.39,0.61,0.7,0.3,0.21,0.18,0.49,0.12,0.88,0.51,0.82,0.79
"888",0.42,0.58,0.7,0.3,0.21,0.21,0.49,0.09,0.91,0.51,0.79,0.79
"889",0.45,0.55,0.7,0.3,0.21,0.24,0.49,0.06,0.94,0.51,0.76,0.79
"890",0.48,0.52,0.7,0.3,0.21,0.27,0.49,0.03,0.97,0.51,0.73,0.79
"891",0.51,0.49,0.7,0.3,0.21,0.3,0.49,0,1,0.51,0.7,0.79
"892",0.28,0.72,0.7,0.3,0.28,0,0.42,0.3,0.7,0.58,1,0.72
"893",0.31,0.69,0.7,0.3,0.28,0.03,0.42,0.27,0.73,0.58,0.97,0.72
"894",0.34,0.66,0.7,0.3,0.28,0.06,0.42,0.24,0.76,0.58,0.94,0.72
"895",0.37,0.63,0.7,0.3,0.28,0.09,0.42,0.21,0.79,0.58,0.91,0.72
"896",0.4,0.6,0.7,0.3,0.28,0.12,0.42,0.18,0.82,0.58,0.88,0.72
"897",0.43,0.57,0.7,0.3,0.28,0.15,0.42,0.15,0.85,0.58,0.85,0.72
"898",0.46,0.54,0.7,0.3,0.28,0.18,0.42,0.12,0.88,0.58,0.82,0.72
"899",0.49,0.51,0.7,0.3,0.28,0.21,0.42,0.09,0.91,0.58,0.79,0.72
"900",0.52,0.48,0.7,0.3,0.28,0.24,0.42,0.06,0.94,0.58,0.76,0.72
"901",0.55,0.45,0.7,0.3,0.28,0.27,0.42,0.03,0.97,0.58,0.73,0.72
"902",0.58,0.42,0.7,0.3,0.28,0.3,0.42,0,1,0.58,0.7,0.72
"903",0.35,0.65,0.7,0.3,0.35,0,0.35,0.3,0.7,0.65,1,0.65
"904",0.38,0.62,0.7,0.3,0.35,0.03,0.35,0.27,0.73,0.65,0.97,0.65
"905",0.41,0.59,0.7,0.3,0.35,0.06,0.35,0.24,0.76,0.65,0.94,0.65
"906",0.44,0.56,0.7,0.3,0.35,0.09,0.35,0.21,0.79,0.65,0.91,0.65
"907",0.47,0.53,0.7,0.3,0.35,0.12,0.35,0.18,0.82,0.65,0.88,0.65
"908",0.5,0.5,0.7,0.3,0.35,0.15,0.35,0.15,0.85,0.65,0.85,0.65
"909",0.53,0.47,0.7,0.3,0.35,0.18,0.35,0.12,0.88,0.65,0.82,0.65
"910",0.56,0.44,0.7,0.3,0.35,0.21,0.35,0.09,0.91,0.65,0.79,0.65
"911",0.59,0.41,0.7,0.3,0.35,0.24,0.35,0.06,0.94,0.65,0.76,0.65
"912",0.62,0.38,0.7,0.3,0.35,0.27,0.35,0.03,0.97,0.65,0.73,0.65
"913",0.65,0.35,0.7,0.3,0.35,0.3,0.35,0,1,0.65,0.7,0.65
"914",0.42,0.58,0.7,0.3,0.42,0,0.28,0.3,0.7,0.72,1,0.58
"915",0.45,0.55,0.7,0.3,0.42,0.03,0.28,0.27,0.73,0.72,0.97,0.58
"916",0.48,0.52,0.7,0.3,0.42,0.06,0.28,0.24,0.76,0.72,0.94,0.58
"917",0.51,0.49,0.7,0.3,0.42,0.09,0.28,0.21,0.79,0.72,0.91,0.58
"918",0.54,0.46,0.7,0.3,0.42,0.12,0.28,0.18,0.82,0.72,0.88,0.58
"919",0.57,0.43,0.7,0.3,0.42,0.15,0.28,0.15,0.85,0.72,0.85,0.58
"920",0.6,0.4,0.7,0.3,0.42,0.18,0.28,0.12,0.88,0.72,0.82,0.58
"921",0.63,0.37,0.7,0.3,0.42,0.21,0.28,0.09,0.91,0.72,0.79,0.58
"922",0.66,0.34,0.7,0.3,0.42,0.24,0.28,0.0599999999999999,0.94,0.72,0.76,0.58
"923",0.69,0.31,0.7,0.3,0.42,0.27,0.28,0.03,0.97,0.72,0.73,0.58
"924",0.72,0.28,0.7,0.3,0.42,0.3,0.28,0,1,0.72,0.7,0.58
"925",0.49,0.51,0.7,0.3,0.49,0,0.21,0.3,0.7,0.79,1,0.51
"926",0.52,0.48,0.7,0.3,0.49,0.03,0.21,0.27,0.73,0.79,0.97,0.51
"927",0.55,0.45,0.7,0.3,0.49,0.06,0.21,0.24,0.76,0.79,0.94,0.51
"928",0.58,0.42,0.7,0.3,0.49,0.09,0.21,0.21,0.79,0.79,0.91,0.51
"929",0.61,0.39,0.7,0.3,0.49,0.12,0.21,0.18,0.82,0.79,0.88,0.51
"930",0.64,0.36,0.7,0.3,0.49,0.15,0.21,0.15,0.85,0.79,0.85,0.51
"931",0.67,0.33,0.7,0.3,0.49,0.18,0.21,0.12,0.88,0.79,0.82,0.51
"932",0.7,0.3,0.7,0.3,0.49,0.21,0.21,0.09,0.91,0.79,0.79,0.51
"933",0.73,0.27,0.7,0.3,0.49,0.24,0.21,0.06,0.94,0.79,0.76,0.51
"934",0.76,0.24,0.7,0.3,0.49,0.27,0.21,0.03,0.97,0.79,0.73,0.51
"935",0.79,0.21,0.7,0.3,0.49,0.3,0.21,0,1,0.79,0.7,0.51
"936",0.56,0.44,0.7,0.3,0.56,0,0.14,0.3,0.7,0.86,1,0.44
"937",0.59,0.41,0.7,0.3,0.56,0.03,0.14,0.27,0.73,0.86,0.97,0.44
"938",0.62,0.38,0.7,0.3,0.56,0.06,0.14,0.24,0.76,0.86,0.94,0.44
"939",0.65,0.35,0.7,0.3,0.56,0.09,0.14,0.21,0.79,0.86,0.91,0.44
"940",0.68,0.32,0.7,0.3,0.56,0.12,0.14,0.18,0.82,0.86,0.88,0.44
"941",0.71,0.29,0.7,0.3,0.56,0.15,0.14,0.15,0.85,0.86,0.85,0.44
"942",0.74,0.26,0.7,0.3,0.56,0.18,0.14,0.12,0.88,0.86,0.82,0.44
"943",0.77,0.23,0.7,0.3,0.56,0.21,0.14,0.09,0.91,0.86,0.79,0.44
"944",0.8,0.2,0.7,0.3,0.56,0.24,0.14,0.06,0.94,0.86,0.76,0.44
"945",0.83,0.17,0.7,0.3,0.56,0.27,0.14,0.03,0.97,0.86,0.73,0.44
"946",0.86,0.14,0.7,0.3,0.56,0.3,0.14,0,1,0.86,0.7,0.44
"947",0.63,0.37,0.7,0.3,0.63,0,0.07,0.3,0.7,0.93,1,0.37
"948",0.66,0.34,0.7,0.3,0.63,0.03,0.07,0.27,0.73,0.93,0.97,0.37
"949",0.69,0.31,0.7,0.3,0.63,0.06,0.07,0.24,0.76,0.93,0.94,0.37
"950",0.72,0.28,0.7,0.3,0.63,0.09,0.07,0.21,0.79,0.93,0.91,0.37
"951",0.75,0.25,0.7,0.3,0.63,0.12,0.07,0.18,0.82,0.93,0.88,0.37
"952",0.78,0.22,0.7,0.3,0.63,0.15,0.07,0.15,0.85,0.93,0.85,0.37
"953",0.81,0.19,0.7,0.3,0.63,0.18,0.07,0.12,0.88,0.93,0.82,0.37
"954",0.84,0.16,0.7,0.3,0.63,0.21,0.07,0.09,0.91,0.93,0.79,0.37
"955",0.87,0.13,0.7,0.3,0.63,0.24,0.07,0.0599999999999999,0.94,0.93,0.76,0.37
"956",0.9,0.0999999999999999,0.7,0.3,0.63,0.27,0.07,0.03,0.97,0.93,0.73,0.37
"957",0.93,0.07,0.7,0.3,0.63,0.3,0.07,0,1,0.93,0.7,0.37
"958",0.7,0.3,0.7,0.3,0.7,0,0,0.3,0.7,1,1,0.3
"959",0.73,0.27,0.7,0.3,0.7,0.03,0,0.27,0.73,1,0.97,0.3
"960",0.76,0.24,0.7,0.3,0.7,0.06,0,0.24,0.76,1,0.94,0.3
"961",0.79,0.21,0.7,0.3,0.7,0.09,0,0.21,0.79,1,0.91,0.3
"962",0.82,0.18,0.7,0.3,0.7,0.12,0,0.18,0.82,1,0.88,0.3
"963",0.85,0.15,0.7,0.3,0.7,0.15,0,0.15,0.85,1,0.85,0.3
"964",0.88,0.12,0.7,0.3,0.7,0.18,0,0.12,0.88,1,0.82,0.3
"965",0.91,0.09,0.7,0.3,0.7,0.21,0,0.09,0.91,1,0.79,0.3
"966",0.94,0.0599999999999999,0.7,0.3,0.7,0.24,0,0.06,0.94,1,0.76,0.3
"967",0.97,0.03,0.7,0.3,0.7,0.27,0,0.03,0.97,1,0.73,0.3
"968",1,0,0.7,0.3,0.7,0.3,0,0,1,1,0.7,0.3
"969",0,1,0.8,0.2,0,0,0.8,0.2,0.8,0.2,1,1
"970",0.02,0.98,0.8,0.2,0,0.02,0.8,0.18,0.82,0.2,0.98,1
"971",0.04,0.96,0.8,0.2,0,0.04,0.8,0.16,0.84,0.2,0.96,1
"972",0.06,0.94,0.8,0.2,0,0.06,0.8,0.14,0.86,0.2,0.94,1
"973",0.08,0.92,0.8,0.2,0,0.08,0.8,0.12,0.88,0.2,0.92,1
"974",0.1,0.9,0.8,0.2,0,0.1,0.8,0.1,0.9,0.2,0.9,1
"975",0.12,0.88,0.8,0.2,0,0.12,0.8,0.08,0.92,0.2,0.88,1
"976",0.14,0.86,0.8,0.2,0,0.14,0.8,0.06,0.94,0.2,0.86,1
"977",0.16,0.84,0.8,0.2,0,0.16,0.8,0.04,0.96,0.2,0.84,1
"978",0.18,0.82,0.8,0.2,0,0.18,0.8,0.02,0.98,0.2,0.82,1
"979",0.2,0.8,0.8,0.2,0,0.2,0.8,0,1,0.2,0.8,1
"980",0.08,0.92,0.8,0.2,0.08,0,0.72,0.2,0.8,0.28,1,0.92
"981",0.1,0.9,0.8,0.2,0.08,0.02,0.72,0.18,0.82,0.28,0.98,0.92
"982",0.12,0.88,0.8,0.2,0.08,0.04,0.72,0.16,0.84,0.28,0.96,0.92
"983",0.14,0.86,0.8,0.2,0.08,0.06,0.72,0.14,0.86,0.28,0.94,0.92
"984",0.16,0.84,0.8,0.2,0.08,0.08,0.72,0.12,0.88,0.28,0.92,0.92
"985",0.18,0.82,0.8,0.2,0.08,0.1,0.72,0.1,0.9,0.28,0.9,0.92
"986",0.2,0.8,0.8,0.2,0.08,0.12,0.72,0.08,0.92,0.28,0.88,0.92
"987",0.22,0.78,0.8,0.2,0.08,0.14,0.72,0.06,0.94,0.28,0.86,0.92
"988",0.24,0.76,0.8,0.2,0.08,0.16,0.72,0.04,0.96,0.28,0.84,0.92
"989",0.26,0.74,0.8,0.2,0.08,0.18,0.72,0.02,0.98,0.28,0.82,0.92
"990",0.28,0.72,0.8,0.2,0.08,0.2,0.72,0,1,0.28,0.8,0.92
"991",0.16,0.84,0.8,0.2,0.16,0,0.64,0.2,0.8,0.36,1,0.84
"992",0.18,0.82,0.8,0.2,0.16,0.02,0.64,0.18,0.82,0.36,0.98,0.84
"993",0.2,0.8,0.8,0.2,0.16,0.04,0.64,0.16,0.84,0.36,0.96,0.84
"994",0.22,0.78,0.8,0.2,0.16,0.06,0.64,0.14,0.86,0.36,0.94,0.84
"995",0.24,0.76,0.8,0.2,0.16,0.08,0.64,0.12,0.88,0.36,0.92,0.84
"996",0.26,0.74,0.8,0.2,0.16,0.1,0.64,0.1,0.9,0.36,0.9,0.84
"997",0.28,0.72,0.8,0.2,0.16,0.12,0.64,0.08,0.92,0.36,0.88,0.84
"998",0.3,0.7,0.8,0.2,0.16,0.14,0.64,0.06,0.94,0.36,0.86,0.84
"999",0.32,0.68,0.8,0.2,0.16,0.16,0.64,0.04,0.96,0.36,0.84,0.84
"1000",0.34,0.66,0.8,0.2,0.16,0.18,0.64,0.02,0.98,0.36,0.82,0.84
"1001",0.36,0.64,0.8,0.2,0.16,0.2,0.64,0,1,0.36,0.8,0.84
"1002",0.24,0.76,0.8,0.2,0.24,0,0.56,0.2,0.8,0.44,1,0.76
"1003",0.26,0.74,0.8,0.2,0.24,0.02,0.56,0.18,0.82,0.44,0.98,0.76
"1004",0.28,0.72,0.8,0.2,0.24,0.04,0.56,0.16,0.84,0.44,0.96,0.76
"1005",0.3,0.7,0.8,0.2,0.24,0.06,0.56,0.14,0.86,0.44,0.94,0.76
"1006",0.32,0.68,0.8,0.2,0.24,0.08,0.56,0.12,0.88,0.44,0.92,0.76
"1007",0.34,0.66,0.8,0.2,0.24,0.1,0.56,0.1,0.9,0.44,0.9,0.76
"1008",0.36,0.64,0.8,0.2,0.24,0.12,0.56,0.08,0.92,0.44,0.88,0.76
"1009",0.38,0.62,0.8,0.2,0.24,0.14,0.56,0.06,0.94,0.44,0.86,0.76
"1010",0.4,0.6,0.8,0.2,0.24,0.16,0.56,0.04,0.96,0.44,0.84,0.76
"1011",0.42,0.58,0.8,0.2,0.24,0.18,0.56,0.02,0.98,0.44,0.82,0.76
"1012",0.44,0.56,0.8,0.2,0.24,0.2,0.56,0,1,0.44,0.8,0.76
"1013",0.32,0.68,0.8,0.2,0.32,0,0.48,0.2,0.8,0.52,1,0.68
"1014",0.34,0.66,0.8,0.2,0.32,0.02,0.48,0.18,0.82,0.52,0.98,0.68
"1015",0.36,0.64,0.8,0.2,0.32,0.04,0.48,0.16,0.84,0.52,0.96,0.68
"1016",0.38,0.62,0.8,0.2,0.32,0.06,0.48,0.14,0.86,0.52,0.94,0.68
"1017",0.4,0.6,0.8,0.2,0.32,0.08,0.48,0.12,0.88,0.52,0.92,0.68
"1018",0.42,0.58,0.8,0.2,0.32,0.1,0.48,0.1,0.9,0.52,0.9,0.68
"1019",0.44,0.56,0.8,0.2,0.32,0.12,0.48,0.0799999999999999,0.92,0.52,0.88,0.68
"1020",0.46,0.54,0.8,0.2,0.32,0.14,0.48,0.06,0.94,0.52,0.86,0.68
"1021",0.48,0.52,0.8,0.2,0.32,0.16,0.48,0.04,0.96,0.52,0.84,0.68
"1022",0.5,0.5,0.8,0.2,0.32,0.18,0.48,0.02,0.98,0.52,0.82,0.68
"1023",0.52,0.48,0.8,0.2,0.32,0.2,0.48,0,1,0.52,0.8,0.68
"1024",0.4,0.6,0.8,0.2,0.4,0,0.4,0.2,0.8,0.6,1,0.6
"1025",0.42,0.58,0.8,0.2,0.4,0.02,0.4,0.18,0.82,0.6,0.98,0.6
"1026",0.44,0.56,0.8,0.2,0.4,0.04,0.4,0.16,0.84,0.6,0.96,0.6
"1027",0.46,0.54,0.8,0.2,0.4,0.06,0.4,0.14,0.86,0.6,0.94,0.6
"1028",0.48,0.52,0.8,0.2,0.4,0.08,0.4,0.12,0.88,0.6,0.92,0.6
"1029",0.5,0.5,0.8,0.2,0.4,0.1,0.4,0.1,0.9,0.6,0.9,0.6
"1030",0.52,0.48,0.8,0.2,0.4,0.12,0.4,0.08,0.92,0.6,0.88,0.6
"1031",0.54,0.46,0.8,0.2,0.4,0.14,0.4,0.06,0.94,0.6,0.86,0.6
"1032",0.56,0.44,0.8,0.2,0.4,0.16,0.4,0.04,0.96,0.6,0.84,0.6
"1033",0.58,0.42,0.8,0.2,0.4,0.18,0.4,0.02,0.98,0.6,0.82,0.6
"1034",0.6,0.4,0.8,0.2,0.4,0.2,0.4,0,1,0.6,0.8,0.6
"1035",0.48,0.52,0.8,0.2,0.48,0,0.32,0.2,0.8,0.68,1,0.52
"1036",0.5,0.5,0.8,0.2,0.48,0.02,0.32,0.18,0.82,0.68,0.98,0.52
"1037",0.52,0.48,0.8,0.2,0.48,0.04,0.32,0.16,0.84,0.68,0.96,0.52
"1038",0.54,0.46,0.8,0.2,0.48,0.06,0.32,0.14,0.86,0.68,0.94,0.52
"1039",0.56,0.44,0.8,0.2,0.48,0.08,0.32,0.12,0.88,0.68,0.92,0.52
"1040",0.58,0.42,0.8,0.2,0.48,0.1,0.32,0.1,0.9,0.68,0.9,0.52
"1041",0.6,0.4,0.8,0.2,0.48,0.12,0.32,0.08,0.92,0.68,0.88,0.52
"1042",0.62,0.38,0.8,0.2,0.48,0.14,0.32,0.06,0.94,0.68,0.86,0.52
"1043",0.64,0.36,0.8,0.2,0.48,0.16,0.32,0.04,0.96,0.68,0.84,0.52
